"","p.value","estimate.rho"
"CD97",2.22014958257991e-06,0.635801128962223
"CELSR1",0.00107105352354302,-0.457730615958185
"CELSR3",0.0223881186887233,0.330112896222319
"EMR1",0.933467474878992,0.0123754986883038
"EMR2",0.0172480931096563,0.343573599652627
"GPR113",0.0318670968337636,0.311007381676075
"GPR114",0.000468157551450266,0.490772904906643
"GPR126",0.478777050051584,0.104708643122968
"GPR133",0.10982848029442,0.233742266061037
"GPR56",2.58683587903403e-08,0.7311115935736
"GPR97",0.994148567487857,0.00108719412736527
"ADORA2A",1.29082027150189e-05,0.594007815892314
"ADORA2B",0.201368784618535,0.187718279849894
"ADORA3",0.139598336438171,0.216396704247525
"ADRA2B",0.0717349677550432,0.262264999319518
"ADRB1",0.227039099902741,0.177654713167777
"ADRB2",0.785268191064094,-0.040273556231003
"C3AR1",0.0174712691450971,0.342922275293096
"C5AR1",0.294137297499953,0.15458517659776
"CCKBR",0.188080802407539,-0.193285978973304
"CCR1",5.99363743525378e-05,0.553517151541468
"CCR10",0.409301400895048,-0.121863817253173
"CCR2",0.0227601307046629,0.329244463742944
"CCR4",0.504839647928851,0.098349978289188
"CCR5",5.14568185744086e-07,0.668584455058619
"CCR6",7.21253202578061e-05,-0.548306556665219
"CCR7",6.40179862715716e-05,-0.551671732522796
"CCR8",0.00659018827494805,0.3891663048198
"CCR9",0.553764128886957,-0.0876112792341625
"CCRL2",1.04716684704481e-07,0.703973078593139
"CMKLR1",0.425033660302964,0.117845135222543
"CNR1",0.00165119652441619,-0.442181675736163
"CNR2",8.88676092292208e-05,-0.542336083369518
"CX3CR1",0.833724835205793,0.0310464611376465
"CXCR2",0.907180961771137,0.0172833850457207
"CXCR3",1.54986722515252e-06,0.643942683456361
"CXCR4",0.686035912151101,0.0597047329570126
"CXCR5",9.61814436994541e-06,-0.601280937907078
"CXCR6",0,0.774099001302649
"CYSLTR1",0.0536080299122244,-0.280720798957881
"CYSLTR2",0.0967237238921212,0.242536099572855
"EDNRB",0.0658762401725,0.267663620658648
"F2R",1.49390431736271e-07,0.696157186278767
"F2RL2",0.369184985841414,0.132218844984802
"FFAR2",0.000412674873864767,0.489610678511248
"FFAR3",0.314145795818315,-0.148389745325114
"FPR1",0.198220944601079,0.189013137581173
"FPR2",0.195294965719393,0.190229838553245
"FPR3",0.184928984764178,0.194647445301472
"GPBAR1",0.259848003387868,0.165875105225686
"GPR132",0.521984070861586,0.0944420321320017
"GPR141",0.613125467894162,0.0748500556630306
"GPR146",0.224455572739055,0.178630553435122
"GPR15",1.59166832475937e-06,-0.630145382490108
"GPR160",0.0536080299122244,-0.280720798957881
"GPR171",1.61072085421713e-06,0.643074250976987
"GPR174",0.00194035902389674,0.439752496743378
"GPR18",0.533088274305389,-0.0919452887537994
"GPR183",0.00693582989595238,-0.386886669561442
"GPR19",0.00249103939500939,0.429982631350412
"GPR22",0.378758781637791,-0.129613547546678
"GPR25",0.161904415588058,0.2051372864903
"GPR31",0.965859732906602,-0.00634506761691081
"GPR34",0.973901921343584,-0.00488493269648285
"GPR35",0.923566285844984,-0.0142205818497612
"GPR42",0.540454092857021,-0.0905580923132113
"GPR65",0.00760168597351438,0.382761615284412
"GPR68",0.00983022346972707,0.370929222752931
"GPR75",0.328527660467504,0.144090346804196
"GPR82",0.97448819774158,0.00477637863656101
"GPR84",0.0695007119306021,0.264280964023071
"HRH1",0.0757487017322575,0.258765018095741
"HRH2",0.678468587638749,-0.0612244897959184
"LGR6",0.112687037003885,-0.231932043399659
"LPAR1",0.637353299744768,0.0697978629768505
"LPAR2",0.00912371082831284,0.37440295267043
"LPAR5",0.01754620683076,0.342705167173252
"LPAR6",0.205072452254825,0.185953104646114
"LTB4R",0.15369062046574,0.208966565349544
"LTB4R2",0.0637559228262831,0.269973947025619
"MC1R",0.342488307042099,0.139709075119409
"NMUR1",0.645487121541154,0.0681195212886899
"OPN3",0.989191246630079,-0.00200830461169843
"OPRL1",0.920408900543119,-0.0148116669468409
"P2RY1",6.54466730052847e-08,0.688010663167479
"P2RY10",0.0365416018314519,0.303300043421624
"P2RY11",0.000150418263140339,0.526812852800695
"P2RY12",0.654556290253691,-0.0662581172647809
"P2RY13",0.250821611683501,0.169010267370559
"P2RY14",0.88512784779822,0.0213851498046027
"P2RY2",0.10955872947542,0.233914940064534
"P2RY6",0.180200853477671,0.196721312634742
"P2RY8",0.0207771248201293,-0.334020842379505
"PTAFR",0.533573695584423,0.0918367346938776
"PTGDR2",0.125415874467965,-0.224271006267685
"PTGDR",0.441460493660527,-0.113438992618324
"PTGER2",0.119927434649869,0.227420755536257
"PTGER4",0.00486482712751589,0.402409900130265
"PTGIR",0.414570944936966,-0.120508088865653
"S1PR1",1.35403880583178e-06,-0.646982197134173
"S1PR2",0.301790020897897,-0.152184514937604
"S1PR4",0.00406615577327198,0.410008684324794
"S1PR5",0.333417685843675,-0.142655521413935
"SUCNR1",0.399943888356025,0.12429629384336
"TSHR",0.010424829546162,0.366409729659081
"CALCRL",0.952689064872521,-0.00879526608224559
"GIPR",1.19736530030633e-07,0.70104211897525
"GABBR1",7.40819251411283e-05,-0.547546678245766
"GPRC5B",0.597827959053802,0.0780837498674203
"FZD1",0.965003482108112,0.00650430188165866
"FZD3",0.911312717341742,0.0165002171081198
"FZD6",1.94856859647401e-05,0.583586626139818
"GPR107",5.83757994871169e-06,0.613330438558402
"GPR137",0.00297110324044272,0.422926617455493
"GPR157",0.991819633424563,0.00151992184154878
"TPRA1",0.00306819720770007,0.421623968736431
"GNA11",0.335605783008894,-0.142017747784416
"GNA12",0.547253317865236,0.088797221016066
"GNA13",0.0154474515896499,0.349109856708641
"GNA15",0.00155837991331851,0.44811115935736
"GNAI2",0.00474288472550211,0.403495440729483
"GNAI3",2.08465982510937e-05,0.581849761181068
"GNAO1",0.39052386964902,-0.126465479808945
"GNAQ",0.406263702098203,-0.122340425531915
"GNAS",0.0280919543795395,0.317954841511073
"GNAT2",0.946953081687861,0.00987841945288754
"GNB1",0.00242365636704472,0.431068171949631
"GNB2",0.000195721673403195,0.518779852366478
"GNB4",0.0780698932560126,0.256947459834998
"GNB5",0.015752974182513,-0.348132870169344
"GNG10",6.70513358298973e-05,0.550369083803734
"GNG12",0.00510102641395375,0.397880265625186
"GNG2",0.00782322744548924,0.38145896656535
"GNG4",6.06340916753688e-06,0.601780483407491
"GNG5",6.230732601609e-05,0.552431610942249
"GNG7",0.00101066307641004,-0.464068606165871
"GNG8",0.691737216050335,-0.0587282677872806
"GNGT2",1.52343743270249e-07,0.695722970039079
"ARHGEF1",0.000914572433148572,0.467650890143291
"ARHGEF11",0.484087406457399,-0.103454826753978
"ARHGEF12",6.16563950698247e-06,0.61202778983934
"RGS1",2.26080929272812e-07,0.68693009118541
"RGS10",0.000190956913166153,0.519539730785931
"RGS12",0.502010666855988,0.0990013026487191
"RGS13",0.234894176516718,0.174446374294399
"RGS14",0.271467072659417,0.161636995223621
"RGS16",0.450740596172409,-0.111159357359965
"RGS18",0.822634639914548,-0.0332211488224233
"RGS19",0.995600703648985,-0.000868432479374729
"RGS2",0.0010415220293075,0.462983065566652
"RGS3",1.31346299390738e-05,0.593573599652627
"RGS4",0.00868031441125011,0.37476210566457
"RGS9",0.00245041252103673,0.430633955709944
